epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,54.277,1.17725,1.17014,1.41312,0.71041,0.82937,0.82818,0.37533,1.81323,1.22819,2.00606,0.00043325,0.00043325,0.00043325
68,55.0573,1.18855,1.13801,1.42207,0.81459,0.86553,0.88028,0.43453,1.76623,1.24862,2.02836,0.000420875,0.000420875,0.000420875
69,55.8377,1.22544,1.21316,1.44268,0.91202,0.80238,0.87045,0.46064,1.73404,1.22079,1.99697,0.0004085,0.0004085,0.0004085
70,56.6186,1.24462,1.13288,1.4512,0.76115,0.85153,0.85479,0.44712,1.77535,1.17724,1.99918,0.000396125,0.000396125,0.000396125
71,57.3867,1.18588,1.08748,1.3839,0.77707,0.85032,0.85724,0.46032,1.77518,1.13357,1.99173,0.00038375,0.00038375,0.00038375
72,58.1614,1.18756,1.08017,1.38301,0.78663,0.84909,0.85621,0.45638,1.71588,1.03155,1.9452,0.000371375,0.000371375,0.000371375
73,58.9292,1.16728,1.13643,1.4139,0.77156,0.82287,0.85356,0.47779,1.69161,1.02071,1.94343,0.000359,0.000359,0.000359
74,59.7162,1.22689,1.12614,1.43493,0.75681,0.84617,0.86558,0.48087,1.69032,1.03513,1.96031,0.000346625,0.000346625,0.000346625
75,60.4992,1.16301,1.04378,1.35805,0.74075,0.89286,0.8681,0.47503,1.67292,1.0256,1.9575,0.00033425,0.00033425,0.00033425
76,61.274,1.13776,1.04858,1.33661,0.8475,0.88735,0.88707,0.46188,1.67316,0.9796,1.9667,0.000321875,0.000321875,0.000321875
77,62.0416,1.12257,1.08035,1.37192,0.84581,0.88467,0.88634,0.49594,1.68035,0.97819,1.97197,0.0003095,0.0003095,0.0003095
78,62.8249,1.22516,1.15918,1.43369,0.88326,0.91841,0.92441,0.4937,1.68948,0.97896,1.96845,0.000297125,0.000297125,0.000297125
79,63.6074,1.14152,1.03234,1.35917,0.82494,0.84983,0.85768,0.49191,1.6845,0.97506,1.95185,0.00028475,0.00028475,0.00028475
80,64.3831,1.13199,1.06932,1.38164,0.82866,0.85714,0.85479,0.51064,1.64945,0.91412,1.95002,0.000272375,0.000272375,0.000272375
81,65.1688,1.15977,1.00743,1.32994,0.88126,0.89286,0.8854,0.48708,1.66161,0.929,1.94769,0.00026,0.00026,0.00026
82,65.9368,1.12266,1.05015,1.36124,0.88255,0.92261,0.9244,0.49217,1.67152,0.94386,1.95158,0.000247625,0.000247625,0.000247625
83,66.7059,1.10388,1.00449,1.33929,0.87562,0.92857,0.92767,0.491,1.65453,0.96894,1.92094,0.00023525,0.00023525,0.00023525
84,67.48,1.0847,0.96129,1.34629,0.8866,0.92144,0.93163,0.50523,1.65423,0.93043,1.90279,0.000222875,0.000222875,0.000222875
85,68.2627,1.09722,1.03751,1.35438,0.88511,0.92171,0.92803,0.50756,1.61692,0.87859,1.87914,0.0002105,0.0002105,0.0002105
86,69.0423,1.13622,0.95522,1.37412,0.88271,0.92142,0.93213,0.51073,1.58519,0.8587,1.87885,0.000198125,0.000198125,0.000198125
87,69.8255,1.14129,1.04733,1.35201,0.87488,0.92154,0.93214,0.51545,1.57961,0.84608,1.88452,0.00018575,0.00018575,0.00018575
88,70.6157,1.0811,0.96761,1.35991,0.86728,0.88798,0.91465,0.54285,1.59145,0.87357,1.89654,0.000173375,0.000173375,0.000173375
89,71.397,1.06363,1.00335,1.33195,0.87552,0.85714,0.92166,0.53597,1.57556,0.88087,1.88754,0.000161,0.000161,0.000161
90,72.1666,1.10878,1.01461,1.36394,0.92406,0.88099,0.92683,0.53112,1.57348,0.8964,1.89044,0.000148625,0.000148625,0.000148625
91,73.5243,1.10606,1.16064,1.4126,0.92573,0.8862,0.93549,0.52916,1.57128,0.8892,1.90412,0.00013625,0.00013625,0.00013625
92,74.3378,1.11868,1.13679,1.47108,0.90808,0.89286,0.93434,0.51861,1.55294,0.86483,1.8952,0.000123875,0.000123875,0.000123875
93,75.1107,1.0637,1.04235,1.40612,0.90995,0.89895,0.94132,0.52916,1.54851,0.87043,1.88276,0.0001115,0.0001115,0.0001115
94,75.8776,1.09515,1.09626,1.43763,0.8816,0.90945,0.94133,0.52112,1.55067,0.87677,1.88254,9.9125e-05,9.9125e-05,9.9125e-05
95,76.6435,1.09183,1.16521,1.44358,0.89324,0.90497,0.94268,0.51997,1.55897,0.88904,1.88881,8.675e-05,8.675e-05,8.675e-05
96,77.414,1.01529,1.07215,1.36126,0.917,0.9036,0.93568,0.5285,1.58554,0.89642,1.9117,7.4375e-05,7.4375e-05,7.4375e-05
97,78.1752,1.11558,1.1572,1.44281,0.90901,0.91839,0.93473,0.52908,1.58615,0.91093,1.91734,6.2e-05,6.2e-05,6.2e-05
98,78.937,1.10448,1.10157,1.40388,0.90593,0.91901,0.93327,0.52867,1.58717,0.91154,1.92191,4.9625e-05,4.9625e-05,4.9625e-05
99,79.6983,1.01029,1.03831,1.38031,0.90359,0.91905,0.93137,0.53041,1.5799,0.90768,1.91661,3.725e-05,3.725e-05,3.725e-05
100,80.4682,1.068,1.01373,1.38948,0.90355,0.91993,0.93044,0.53815,1.56402,0.90809,1.91073,2.4875e-05,2.4875e-05,2.4875e-05
